"_"",""NE__PropId__c"",""NE__PropId__r.Name"",""Id"",""Name"
"[NE__PropertyDomain__c]"",""a1D1o00000Jo2BbEAJ"",""Categoria de Tarifa BR"",""a1i1o000003OgBYAA0"",""B2_RUR - Categoria de tarifa B2 rural"
"[NE__PropertyDomain__c]"",""a1D1o00000Jo2BbEAJ"",""Categoria de Tarifa BR"",""a1i1o000003OgBZAA0"",""B3_OUTROS - Categoria de tarifa B3 outros"
"[NE__PropertyDomain__c]"",""a1D1o00000Jo2BbEAJ"",""Categoria de Tarifa BR"",""a1i1o000003OgBaAAK"",""B4A_IP - Categoria de tarifa B4a ilum. pública"
"[NE__PropertyDomain__c]"",""a1D1o00000Jo2BbEAJ"",""Categoria de Tarifa BR"",""a1i1o000003OgBbAAK"",""B4B_IP - Categoria de tarifa B4b ilum. pública"
"[NE__PropertyDomain__c]"",""a1D1o00000Jo2BbEAJ"",""Categoria de Tarifa BR"",""a1i1o000003OgBcAAK"",""DUMMY - Categoria de tarifa DUMMY"
"[NE__PropertyDomain__c]"",""a1D1o00000Jo2BbEAJ"",""Categoria de Tarifa BR"",""a1i1o000003OgBdAAK"",""ELE_LIST - CATEGORIA TARIFFA A LISTINO - FORMAT"
"[NE__PropertyDomain__c]"",""a1D1o00000Jo2BbEAJ"",""Categoria de Tarifa BR"",""a1i1o000003OgBeAAK"",""ELE_PRICE - CATEGORIA TARIFFA A PREZZO - FORMAT"
"[NE__PropertyDomain__c]"",""a1D1o00000Jo2BbEAJ"",""Categoria de Tarifa BR"",""a1i1o000003OgBfAAK"",""GAS_MM - CATEGORIA TARIFFA GAS MM - FORMAT"
"[NE__PropertyDomain__c]"",""a1D1o00000Jo2BbEAJ"",""Categoria de Tarifa BR"",""a1i1o000003OgBgAAK"",""GAS_PROC - CATEGORIA TARIFFA GAS PROCEDURE"
"[NE__PropertyDomain__c]"",""a1D1o00000Jo2BbEAJ"",""Categoria de Tarifa BR"",""a1i1o000003OgBhAAK"",""MED_FISCAL - Categoria de Tarifa Medição Fiscal"
"[NE__PropertyDomain__c]"",""a1D1o00000Jo2BbEAJ"",""Categoria de Tarifa BR"",""a1i1o000003OgBiAAK"",""MIGRADO - Categoria de tarifa para dados Migrados"
"[NE__PropertyDomain__c]"",""a1D1o00000Jo2BbEAJ"",""Categoria de Tarifa BR"",""a1i1o000003OgCdAAK"",""A1_GERAZ - Categoria de tarifa A1 gerador azul"
"[NE__PropertyDomain__c]"",""a1D1o00000Jo2BdEAJ"",""Classe BR"",""a1i06000002Un57AAC"",""53 - Poder Público Estadual Adm. Indireta"
"[NE__PropertyDomain__c]"",""a1D1o00000Jo2BdEAJ"",""Classe BR"",""a1i06000002Un5CAAS"",""42 - Rural normal Isento ICMS"
"[NE__PropertyDomain__c]"",""a1D1o00000Jo2BdEAJ"",""Classe BR"",""a1i06000002Un5HAAS"",""32 - Templos Religiosos e Inst. Filantrópicas"
"[NE__PropertyDomain__c]"",""a1D1o00000Jo2BdEAJ"",""Classe BR"",""a1i06000003q75OAAQ"",""51 - Poder Público Estadual"
"[NE__PropertyDomain__c]"",""a1D1o00000Jo2BdEAJ"",""Classe BR"",""a1i06000003q75TAAQ"",""52 - Poder Público Municipal"
"[NE__PropertyDomain__c]"",""a1D1o00000Jo2BdEAJ"",""Classe BR"",""a1i1o000003OgCSAA0"",""10 - Residencial"
"[NE__PropertyDomain__c]"",""a1D1o00000Jo2BdEAJ"",""Classe BR"",""a1i1o000003OgCTAA0"",""11 - Residencial Baixa Renda"
"[NE__PropertyDomain__c]"",""a1D1o00000Jo2BdEAJ"",""Classe BR"",""a1i1o000003OgCUAA0"",""20 - Industrial"
"[NE__PropertyDomain__c]"",""a1D1o00000Jo2BdEAJ"",""Classe BR"",""a1i1o000003OgCVAA0"",""30 - Comercial"
"[NE__PropertyDomain__c]"",""a1D1o00000Jo2BdEAJ"",""Classe BR"",""a1i1o000003OgCWAA0"",""40 - Rural"
"[NE__PropertyDomain__c]"",""a1D1o00000Jo2BdEAJ"",""Classe BR"",""a1i1o000003OgCXAA0"",""50 - Poder Público Federal"
"[NE__PropertyDomain__c]"",""a1D1o00000Jo2BdEAJ"",""Classe BR"",""a1i1o000003OgCYAA0"",""60 - Iluminação Pública"
"[NE__PropertyDomain__c]"",""a1D1o00000Jo2BdEAJ"",""Classe BR"",""a1i1o000003OgCZAA0"",""70 - Serviço Público"
"[NE__PropertyDomain__c]"",""a1D1o00000Jo2BdEAJ"",""Classe BR"",""a1i1o000003OgCaAAK"",""80 - Consumo Próprio"
"[NE__PropertyDomain__c]"",""a1D1o00000Jo2BdEAJ"",""Classe BR"",""a1i1o000003OgCcAAK"",""9 - REVENDA"
"[NE__PropertyDomain__c]"",""a1D1o00000Jo2BdEAJ"",""Classe BR"",""a1i1o000003Zs71AAC"",""41 - Rural C/ICMS"
"[NE__PropertyDomain__c]"",""a1D1o00000Jo2BYEAZ"",""Modalidade Tarifaria BR"",""a1i1o000003OgAsAAK"",""Horosazonal Azul"
"[NE__PropertyDomain__c]"",""a1D1o00000Jo2BYEAZ"",""Modalidade Tarifaria BR"",""a1i1o000003OgAtAAK"",""Horosazonal Verde"
"[NE__PropertyDomain__c]"",""a1D1o00000Jo2BYEAZ"",""Modalidade Tarifaria BR"",""a1i1o000003OgAuAAK"",""OPTANTE"
"[NE__PropertyDomain__c]"",""a1D1o00000Jo2BYEAZ"",""Modalidade Tarifaria BR"",""a1i1o000003OgAvAAK"",""HORO AZUL"
"[NE__PropertyDomain__c]"",""a1D1o00000Jo2BTEAZ"",""Nivel de Tensão BR"",""a1i1o000003OgAXAA0"",""Baixa Tensão"
"[NE__PropertyDomain__c]"",""a1D1o00000Jo2BTEAZ"",""Nivel de Tensão BR"",""a1i1o000003OgAYAA0"",""Alta Tensão"
"[NE__PropertyDomain__c]"",""a1D1o00000Jo2BTEAZ"",""Nivel de Tensão BR"",""a1i1o000003OgAZAA0"",""Média Tensão"
"[NE__PropertyDomain__c]"",""a1D1o00000Jo2BcEAJ"",""SubClasse BR"",""a1i1o000003OgBjAAK"",""COMBOPT - Comercial B-Optante"
"[NE__PropertyDomain__c]"",""a1D1o00000Jo2BcEAJ"",""SubClasse BR"",""a1i1o000003OgBkAAK"",""COMCON - Comerc. Administração Condominial"
"[NE__PropertyDomain__c]"",""a1D1o00000Jo2BcEAJ"",""SubClasse BR"",""a1i1o000003OgBlAAK"",""COMCT - Comerc. Serv. Comunicações e Telecom"
"[NE__PropertyDomain__c]"",""a1D1o00000Jo2BcEAJ"",""SubClasse BR"",""a1i1o000003OgBmAAK"",""COMER - Comercial"
"[NE__PropertyDomain__c]"",""a1D1o00000Jo2BcEAJ"",""SubClasse BR"",""a1i1o000003OgBnAAK"",""COMFIL - Comerc. Associação e Entidades Filant."
"[NE__PropertyDomain__c]"",""a1D1o00000Jo2BcEAJ"",""SubClasse BR"",""a1i1o000003OgBoAAK"",""COMOS - Comerc. Outros Serviços e Atividades"
"[NE__PropertyDomain__c]"",""a1D1o00000Jo2BcEAJ"",""SubClasse BR"",""a1i1o000003OgBpAAK"",""COMREL - Comerc. Templos Religiosos"
"[NE__PropertyDomain__c]"",""a1D1o00000Jo2BcEAJ"",""SubClasse BR"",""a1i1o000003OgBqAAK"",""COMROD - Comerc. Iluminação em Rodovia"
"[NE__PropertyDomain__c]"",""a1D1o00000Jo2BcEAJ"",""SubClasse BR"",""a1i1o000003OgBrAAK"",""COMSEM - Comerc. Semáforos Radares e Câmeras"
